initiative_id,title,authors,type,url
314950,"Aprova o Acordo entre a República Portuguesa e o Reino de Espanha relativo à Pesca no Troço Internacional do Guadiana, feito em Faro, em 23 de outubro de 2024 ",Governo,Proposta de Resolução,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d7a6330597a59345a4759744d7a4a684e6930304d6a6c6b4c5749324d544d744f5463354d4459784e4463775a44557a4c6d52765933673d&fich=374c68df-32a6-429d-b613-979061470d53.docx&Inline=true
263667,Recomenda ao Governo que mantenha a decisão de construção do Novo Hospital do Oeste,PAN,Projeto de Resolução,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e7a51775a6a526d4d6a41744e44426a59793030596a49774c574a6d4e4451744e44646b596d49324d444e6d4f4759324c6d52765933673d&fich=740f4f20-40cc-4b20-bf44-47dbb603f8f6.docx&Inline=true
263594,Recomenda ao Governo que transponha a Diretiva (UE) 2021/2167 protegendo as pessoas que veem os seus créditos cedidos a terceiros ,L,Projeto de Resolução,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45765a54517a4e4441774d546b744d54426d4d7930304f544d7a4c5467784f5467744d7a466b5a54637a59544532596a4a6b4c6d52765933673d&fich=e4340019-10f3-4933-8198-31de73a16b2d.docx&Inline=true
314394,"Procede à alteração do artigo 120.º do Código do Imposto Municipal sobre Imóveis, aprovado em anexo ao Decreto-Lei n.º 287/2003, de 12 de novembro, na sua redação atual",Assembleia Legislativa da Região Autónoma da Madeira,Proposta de Lei,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d4576596d4e6c4e7a5135597a59744d6a41304e5330304d47466d4c574a685a5749744d6d466d4e44426d4d6a4e6b4f4451794c6d52765933673d&fich=bce749c6-2045-40af-baeb-2af40f23d842.docx&Inline=true
263483,Aumento do Salário Mínimo Nacional,PCP,Projeto de Resolução,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45765a4755784e32526b4e4755744d7a64694d4330304e5759354c57497a4d3249744f4449794d545a6b4d6a5132595441774c6d527659773d3d&fich=de17dd4e-37b0-45f9-b33b-82216d246a00.doc&Inline=true
263621,Pela aprovação de um programa de melhoria do atendimento e acompanhamento das vítimas violência sexual no Serviço Nacional de Saúde,PAN,Projeto de Resolução,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e7a677a4d446c6c5a4451744d444d314e7930304f574e694c5749315a5441744e444d324e6d45314f545a6b597a55334c6d52765933673d&fich=78309ed4-0357-49cb-b5e0-4366a596dc57.docx&Inline=true
314698,Estabelece o regime especial aplicável às embarcações de alta velocidade e fixa o respetivo regime sancionatório,Governo,Proposta de Lei,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d7a42694f5759334d6a45744e7a45305a53303059546c6b4c546778597a51744e5467345a545131595446694f5749794c6d52765933673d&fich=30b9f721-714e-4a9d-81c4-588e45a1b9b2.docx&Inline=true
263545,Recomenda ao Governo que as provas nacionais deste ano letivo se realizem em papel ,IL,Projeto de Resolução,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45765a54526c4e7a67784f4759744d6a4a6d5a4330304d6d4d344c546c6c596a41744d6d526a4d32566c4d6d55314e54426d4c6d527659773d3d&fich=e4e7818f-22fd-42c8-9eb0-2dc3ee2e550f.doc&Inline=true
314816,"Altera a Lei n.º 46/86, de 14 de outubro, que aprova a Lei de Bases do Sistema Educativo, a Lei n.º 37/2003, de 22 de agosto, que estabelece as bases do financiamento do ensino superior, a Lei n.º 38/2007, de 16 de agosto, que aprova o regime jurídico da avaliação do ensino superior e a Lei n.º 62/2007, de 10 de setembro, que estabelece o regime jurídico das instituições de ensino superior",Governo,Proposta de Lei,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e54517a5a444e6c4e6a677459544d324e533030595759784c546778595749745a475a684e6a67314f44646d4f544e684c6d52765933673d&fich=543d3e68-a365-4af1-81ab-dfa68587f93a.docx&Inline=true
263504,Pelo reforço salarial da carreira geral de técnico superior ,BE,Projeto de Resolução,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d3251324f445269595467744e7a55305969303059574a6b4c546b315a6a45744d47526b4e444e6a596d526c5a54426d4c6d52765933673d&fich=3d684ba8-754b-4abd-95f1-0dd43cbdee0f.docx&Inline=true
263772,Pela reabertura da Urgência Básica no Município de Cantanhede,CH,Projeto de Resolução,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d4576596a63314d324d794f5467744f44497a4f4330305a4442684c5745334e4459745a4449355a574669597a51794d6d5a6c4c6d52765933673d&fich=b753c298-8238-4d0a-a746-d29eabc422fe.docx&Inline=true
314940,"Autoriza o Governo a transpor a Diretiva (UE) 2021/2167, que harmoniza o acesso e o exercício da gestão de créditos bancários não produtivos e define os requisitos para os adquirentes de créditos",Governo,Proposta de Lei,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e5759355a54557a4d6d4d744d3245324d4330304d44526d4c5467354e4449744f4463794d7a5a695a5442684e4759344c6d52765933673d&fich=5f9e532c-3a60-404f-8942-87236be0a4f8.docx&Inline=true
263714,Recomenda ao Governo que promova as diligências necessárias para a realização das obras de renovação e ampliação do Hospital de Santa Cruz,L,Projeto de Resolução,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e6a67355a6a55324d6d4d74596a466b4d6930305a5463784c574a695a6a417459544d774d6d59324d54646d4e6d4d334c6d52765933673d&fich=689f562c-b1d2-4e71-bbf0-a302f617f6c7.docx&Inline=true
263617,Deslocação do Presidente da República a Itália,PAR,Projeto de Resolução,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764f4459344e47526c597a49744f5745794e5330305a6a63784c574a6a4e7a67745a544a6a4e6a6b31596a67774e7a41344c6d527659773d3d&fich=8684dec2-9a25-4f71-bc78-e2c695b80708.doc&Inline=true
263777,Recomenda ao Governo que adote medidas de alargamento do rastreio do cancro da mama e de acesso a medicamentos e terapêuticas inovadoras no tratamento da doença,PAN,Projeto de Resolução,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d4576596d51325a6a49304f546374596a4a6a4e6930305932566c4c57466b4d4749745a5455304f474d355a546335596d51354c6d52765933673d&fich=bd6f2497-b2c6-4cee-ad0b-e548c9e79bd9.docx&Inline=true
263717,Investimento no Hospital de Santa Cruz,BE,Projeto de Resolução,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45765954526d4e3259315a5455744d6a59345a6930304e6d46694c546734595755744e3255314d44526a4e446b774d6d49354c6d527659773d3d&fich=a4f7f5e5-268f-46ab-88ae-7e504c4902b9.doc&Inline=true
263492,Aumento das reformas e pensões no ano de 2024,PCP,Projeto de Resolução,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764f4463774e325a694d4463745a6a45335a6930304d445a6d4c57493159574d745a546868596d5268595459344e6a64684c6d527659773d3d&fich=8707fb07-f17f-406f-b5ac-e8abdaa6867a.doc&Inline=true
