initiative_id,act_id,phase,notes
314551,,Votação final global,"Texto Final apresentado pela Comissão de Economia, Obras Públicas e Habitação relativo aos Projetos de Resolução n.º 409/XVI/1.ª (PSD) e n.º 563/XVI/1.ª (CDS-PP) "
314479,,Votação na generalidade,
314515,,Votação na generalidade,
314568,,Votação na generalidade,
314496,,Votação na generalidade,
314546,,Votação na generalidade,
314667,,Votação na generalidade,
314667,,Votação final global,Texto Final apresentado pela Comissão de Negócios Estrangeiros e Comunidades Portuguesas
314525,,Votação na generalidade,
314541,,Votação na generalidade,
314611,,Votação na generalidade,
314618,,Votação Deliberação,
314514,,Votação na generalidade,
314670,,Votação Deliberação,
314523,,Votação na generalidade,
314688,,Votação na generalidade,
314688,,Votação final global,
314749,,Votação Deliberação,
314627,,Votação na generalidade,
314662,,Votação Deliberação,
314635,,Votação na generalidade,
314769,,Votação na generalidade,
314769,,Votação final global,
314643,,Votação na generalidade,
314735,,Votação na generalidade,
314713,,Votação Deliberação,
314766,,Votação na generalidade,
314766,,Requerimento avocação plenário,
314771,,Votação na generalidade,
314771,,Requerimento avocação plenário,
314772,,Votação na generalidade,
314772,,Requerimento avocação plenário,
314750,,Votação na generalidade,
314773,,Votação na generalidade,
314773,,Requerimento avocação plenário,
314819,,Votação na generalidade,
314731,,Votação Deliberação,
314791,,Votação Deliberação,
314792,,Votação Deliberação,
314870,,Votação na generalidade,
314863,,Votação na generalidade,
314862,,Votação na generalidade,
314865,,Votação na generalidade,
314869,,Votação na generalidade,
314881,,Votação na generalidade,
314951,,Votação Deliberação,
263678,,Requerimento Baixa Comissão sem Votação (Generalidade),
263653,,Votação na generalidade,
263653,,Votação final global,
314953,,Votação Deliberação,
314944,,Votação na generalidade,
314952,,Votação Deliberação,
314966,,Votação na generalidade,
315006,,Votação Deliberação,
263533,,Votação na generalidade,
263531,,Votação na generalidade,
263535,,Votação na generalidade,
263534,,Votação na generalidade,
263608,30092,Votação na generalidade,
315019,,Votação Deliberação,
263572,30089,Votação na generalidade,
263559,,Votação na generalidade,
263573,,Votação na generalidade,
263574,,Votação na generalidade,
263575,,Votação na generalidade,
263582,,Votação na generalidade,
263581,30116,Votação na generalidade,
263598,,Votação na generalidade,
263578,30114,Votação na generalidade,
263629,,Requerimento Baixa Comissão sem Votação (Generalidade),
273922,,Votação na generalidade,
273922,,Votação final global,
263652,,Votação na generalidade,
263754,,Requerimento Baixa Comissão sem Votação (Generalidade),
263754,,Votação na generalidade,
263657,,Votação na generalidade,
263723,,Requerimento Baixa Comissão sem Votação (Generalidade),
263723,,Votação na generalidade,
263659,,Votação na generalidade,
263686,,Votação na generalidade,
263690,,Votação na generalidade,
294146,,Requerimento Baixa Comissão sem Votação (Generalidade),"Requerimento, apresentado pela PS solicitando a baixa à Comissão de Poder Local e Coesão Territorial, sem votação, por 30 dias, do Projeto de Lei n.º 291/XVI/1.ª (PS)"
294146,,Votação na generalidade,
294146,,Votação na generalidade,
294146,,Votação na especialidade,
294146,,Votação final global,
263692,,Votação na generalidade,
263779,,Requerimento Baixa Comissão sem Votação (Generalidade),
263779,,Votação na generalidade,
263736,,Votação na generalidade,
294145,,Votação na generalidade,
294145,,Votação final global,
263740,,Votação na generalidade,
263742,,Votação na generalidade,
273910,,Votação na generalidade,
273910,,Votação final global,
273910,,Requerimento dispensa redação final,
294118,,Votação na generalidade,
294118,,Votação na especialidade,
294118,40882,Votação final global,
294144,,Votação na generalidade,
294144,,Votação final global,
294147,,Votação na generalidade,
294147,,Votação final global,Texto final apresentado pela Comissão de Poder Local e Coesão Territorial  relativo ao Projeto de Lei n.º 292/XVI/1.ª (PS)
273917,,Votação na generalidade,
263844,,Votação na generalidade,
263872,30127,Votação na generalidade,
263828,,Votação na generalidade,
284073,,Votação na generalidade,
284073,,Votação final global,
284073,,Requerimento dispensa redação final,
314589,,Votação na generalidade,
314589,,Votação final global,
314589,,Requerimento dispensa redação final,
273904,,Votação na generalidade,
284092,,Votação na generalidade,
284092,,Votação final global,
284092,,Requerimento dispensa redação final,
284049,,Votação na generalidade,
284049,,Requerimento avocação plenário,
284050,,Votação na generalidade,
284041,,Votação na generalidade,
284061,,Votação na generalidade,
294136,,Votação na generalidade,
284053,,Votação na generalidade,
304162,40912,Votação na generalidade,
304162,,Votação final global,"Texto Final apresentado pela Comissão de Trabalho, Segurança Social e Inclusão relativo aos Projetos de Lei n.º 305/XVI/1.ª (PAN) e n.º 316/XVI/1.ª (L) "
294130,40350,Votação na generalidade,
304192,40913,Votação na generalidade,
304191,,Votação na generalidade,
304208,,Votação na generalidade,
314617,,Votação na generalidade,
304367,,Votação na generalidade,
304386,,Votação na generalidade,
304390,,Votação na generalidade,
314426,,Requerimento Baixa Comissão sem Votação (Generalidade),
314392,,Votação na generalidade,
314522,,Requerimento Baixa Comissão sem Votação (Generalidade),
314554,,Votação na generalidade,
314544,,Requerimento Baixa Comissão sem Votação (Generalidade),"Requerimento, apresentado pelo PSD, solicitando a baixa à Comissão de Economia, Obras Públicas e Habitação, sem votação, por 60 dias, do Projeto de Lei n.º 434/XVI/1.ª (PSD)"
314586,,Votação na generalidade,
314497,,Votação na generalidade,
314654,,Votação na generalidade,
314585,,Votação na generalidade,
314595,,Votação na generalidade,
314621,,Votação na generalidade,
304245,,Votação Deliberação,
314634,,Votação na generalidade,
314645,,Votação na generalidade,
304258,,Votação Deliberação,
315021,,Votação na generalidade,
315021,,Votação na especialidade,
315021,,Votação final global,
314782,,Votação na generalidade,
314785,,Votação na generalidade,
263618,,Votação Deliberação,
314876,,Votação na generalidade,
314756,,Votação na generalidade,
314777,,Votação na generalidade,
314789,,Votação na generalidade,
263733,,Votação Deliberação,
304260,,Votação Deliberação,
304374,,Votação Deliberação,
273900,,Votação na generalidade,
273900,,Votação final global,
273900,,Requerimento dispensa do prazo previsto Artº 157 RAR,"Requerimento, apresentado pelo PSD, solicitando a dispensa do prazo para apresentação de reclamações contra inexatidões relativamente ao Decreto da Assembleia da República n.º 20/XVI/1.ª - Lei das Grandes Opções para 2024-2028; e do Decreto da Assembleia da República n.º 21/XVI/1.ª - Orçamento do Estado para 2025"
263602,,Requerimento Baixa Comissão sem Votação (Generalidade),
263602,,Votação na generalidade,
263602,,Votação na generalidade,
263602,,Votação na especialidade,
263602,,Votação final global,
314431,,Votação na generalidade,
314431,,Votação na especialidade,
314431,,Votação final global,
263808,,Votação na generalidade,
263808,,Votação na especialidade,
263808,,Votação final global,
294131,,Votação na generalidade,
294131,,Votação final global,
294131,,Requerimento dispensa redação final,
284024,,Votação na generalidade,
284024,,Votação na especialidade,
284024,,Votação final global,
284024,,Requerimento dispensa redação final,
304359,,Votação na generalidade,
304359,,Votação na especialidade,
304359,,Votação final global,
304310,,Votação na generalidade,
304310,,Votação final global,"Texto Final apresentado pela Comissão de Orçamento, Finanças e Administração Pública relativo à Proposta de Lei n.º 31/XVI/1.ª (GOV)"
304310,,Requerimento dispensa do prazo previsto Artº 157 RAR,"Requerimento oral, apresentado pelo PSD, solicitando a dispensa de redação final e do prazo para apresentação de reclamações contra inexatidões relativamente ao Texto Final apresentado pela Comissão de Orçamento, Finanças e Administração Pública relativo à Proposta de Lei n.º 31/XVI/1.ª (GOV) "
314434,,Votação na generalidade,
314434,,Votação na especialidade,
314434,,Votação final global,
263495,,Votação na generalidade,
263495,,Votação final global,
263548,,Votação Deliberação,
263496,,Votação Deliberação,
263576,,Votação na generalidade,
263576,,Votação final global,
263588,,Votação na generalidade,
263588,,Votação final global,
263518,,Votação na generalidade,
263518,,Votação final global,Texto Final apresentado pela Comissão de Saúde
263498,,Votação na generalidade,
263838,,Votação na generalidade,
263838,,Votação final global,
263835,,Votação na generalidade,
263835,,Votação final global,"Texto Final apresentado pela Comissão de Educação e Ciência relativo aos Projetos de Resolução n.º 152/XVI/1.ª (PS), n.º 365/XVI/1.ª (PCP), n.º 371/XVI/1.ª (L) e n.º 375/XVI/1.ª (BE)"
263752,,Votação Deliberação,
263797,30135,Votação na generalidade,
263797,,Votação final global,
263766,,Votação na generalidade,
263890,,Votação na generalidade,
263890,,Votação final global,"Texto Final apresentado pela Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias relativo aos Projetos de Resolução n.ºs 185/XVI/1.ª (BE) e 188/XVI/1.ª (PS) "
263775,,Votação na generalidade,
263713,30097,Votação na generalidade,
263778,,Votação na generalidade,
263780,40352,Votação na generalidade,
273914,,Votação na generalidade,
273914,,Votação final global,"Texto Final apresentado pela Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias relativo ao Projeto de Resolução n.º 206/XVI/1.ª (PCP)"
263724,,Votação na generalidade,
263788,,Votação na generalidade,
263786,,Votação na generalidade,
273901,40371,Votação Deliberação,
273898,,Votação Deliberação,
263799,,Votação na generalidade,
283983,,Votação na generalidade,
283983,40884,Votação final global,
263798,,Votação na generalidade,
273905,,Votação Deliberação,
263873,,Votação Deliberação,
263824,,Votação Deliberação,
263858,30139,Votação na generalidade,
273902,40368,Votação na generalidade,
284069,,Votação na generalidade,
284069,,Votação final global,
273923,,Votação Deliberação,
284066,40891,Votação na generalidade,
284066,,Votação final global,
284077,,Votação na generalidade,
284077,,Votação final global,
284055,40902,Votação na generalidade,
284055,,Votação final global,
284020,,Votação Deliberação,
284058,,Votação na generalidade,
284058,,Votação final global,
273932,,Votação Deliberação,
294098,,Votação na generalidade,
294098,,Votação final global,
273937,,Votação Deliberação,
284080,,Votação na generalidade,
284080,40885,Votação final global,
294142,,Votação na generalidade,
294142,,Votação final global,
294099,,Votação Deliberação,
294124,,Votação na generalidade,
294124,,Votação final global,"Texto Final apresentado pela Comissão de Educação e Ciência relativo aos Projetos de Resolução n.º 323/XVI/1.ª (PS), n.º 326/XVI/1.ª (BE) e n.º 327/XVI/1.ª (PAN) "
283996,,Votação Deliberação,
294127,,Votação na generalidade,
294127,,Votação final global,
294135,,Votação na generalidade,
294135,,Votação final global,"Texto Final apresentado pela Comissão de Educação e Ciência relativo aos Projetos de Resolução n.º 323/XVI/1.ª (PS), n.º 326/XVI/1.ª (BE) e n.º 327/XVI/1.ª (PAN) "
284003,,Votação Deliberação,
284005,,Votação Deliberação,
294141,,Votação na generalidade,
294141,,Votação final global,
284036,40353,Votação na generalidade,
284008,,Votação Deliberação,
294101,40373,Votação na generalidade,
304203,,Votação na generalidade,
304203,,Votação final global,"Texto Final apresentado pela Comissão de Educação e Ciência relativo aos Projetos de Resolução n.º 151/XVI/1.ª (PS) e n.º 371/XVI/1.ª (L) e 
Texto Final apresentado pela Comissão de Educação e Ciência relativo aos Projetos de Resolução n.º 152/XVI/1.ª (PS), n.º 365/XVI/1.ª (PCP), n.º 371/XVI/1.ª (L) e n.º 375/XVI/1.ª (BE)"
304211,,Votação na generalidade,
304211,,Votação final global,"Texto Final apresentado pela Comissão de Educação e Ciência relativo aos Projetos de Resolução n.º 152/XVI/1.ª (PS), n.º 365/XVI/1.ª (PCP), n.º 371/XVI/1.ª (L) e n.º 375/XVI/1.ª (BE)"
284071,40349,Votação na generalidade,
304146,,Votação na generalidade,
304146,,Votação final global,
304262,,Votação na generalidade,
304262,,Votação final global,
304244,,Votação na generalidade,
304244,,Votação final global,
304248,,Votação na generalidade,
304248,,Votação final global,
304279,,Votação na generalidade,
304279,,Votação final global,"Texto Final apresentado pela Comissão de Economia, Obras Públicas e Habitação relativo aos Projetos de Resolução n.º 409/XVI/1.ª (PSD) e n.º 563/XVI/1.ª (CDS-PP) "
284095,,Votação na generalidade,
304273,,Votação Deliberação,
304158,,Votação na generalidade,
304274,,Votação Deliberação,
304323,,Votação na generalidade,
304323,,Votação final global,
304167,,Votação na generalidade,
304324,,Votação na generalidade,
304324,,Votação final global,"Texto Final apresentado pela Comissão de Orçamento, Finanças e Administração Pública relativo ao Projeto de Resolução n.º 441/XVI/1.ª (PSD)"
304270,,Votação na generalidade,
304193,,Votação na generalidade,
304319,40883,Votação Deliberação,
304291,,Votação Deliberação,
314407,,Votação na generalidade,
314407,,Votação final global,Texto Final apresentado pela Comissão de Negócios Estrangeiros e Comunidades Portuguesas
304212,,Votação na generalidade,
314397,,Votação Deliberação,
304266,,Votação Deliberação,
304303,,Votação na generalidade,
304239,40456,Votação na generalidade,
314415,,Votação na generalidade,
314415,,Votação final global,"Texto Final relativo aos Projetos de Resolução n.º 347/XVI/1.ª (PAN) e n.º 488/XVI/1.ª (PSD), apresentado pela Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias"
314418,,Votação na generalidade,
314418,,Votação final global,"Texto final apresentado pela Comissão de Saúde relativo aos Projetos de Resolução n.º 477/XVI/1.ª (CH), n.º 478/XVI/1.ª (CH), n.º 490/XVI/1.ª (PS) e n.º 492/XVI/1.ª (IL) "
304292,,Votação Deliberação,
314425,,Votação na generalidade,
314425,,Votação final global,"Texto final apresentado pela Comissão de Saúde relativo aos Projetos de Resolução n.º 477/XVI/1.ª (CH), n.º 478/XVI/1.ª (CH), n.º 490/XVI/1.ª (PS) e n.º 492/XVI/1.ª (IL) "
304305,,Votação na generalidade,
304373,,Votação Deliberação,
304349,,Votação na generalidade,
304328,,Votação Deliberação,
304375,,Votação na generalidade,
314502,,Votação na generalidade,
314502,,Votação final global,"Texto Final relativo aos Projetos de Resolução n.º 528/XVI/1.ª (BE), n.º 541/XVI/1.ª (PAN) e n.º 552/XVI/1.ª (L), apresentado pela Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias "
314403,,Votação Deliberação,
314440,,Votação na generalidade,
314440,,Requerimento avocação plenário,
314442,,Votação na generalidade,
314442,,Votação final global,Texto Final apresentado pela Comissão de Assuntos Europeus
304356,,Votação na generalidade,
304363,,Votação na generalidade,
304376,,Votação Deliberação,
314508,,Votação na generalidade,
314508,,Votação final global,
304342,,Votação Deliberação,
314511,,Votação na generalidade,
314511,,Votação final global,
314537,,Votação na generalidade,
314537,,Votação final global,"Texto Final relativo aos Projetos de Resolução n.º 528/XVI/1.ª (BE), n.º 541/XVI/1.ª (PAN) e n.º 552/XVI/1.ª (L), apresentado pela Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias "
314490,,Votação Deliberação,
314461,,Votação Deliberação,
304352,,Votação na generalidade,
304354,,Votação na generalidade,
314528,,Votação na generalidade,
314528,,Votação final global,
314398,,Votação na generalidade,
314539,,Votação na generalidade,
314539,,Votação final global,
314433,,Votação Deliberação,
314492,,Votação na generalidade,
314543,,Votação na generalidade,
314543,,Votação final global,
314583,,Votação na generalidade,
314583,,Votação final global,Texto Final apresentado pela Comissão de Negócios Estrangeiros e Comunidades Portuguesas
314482,,Votação Deliberação,
314478,,Votação na generalidade,
314531,,Votação na generalidade,
314531,,Votação final global,
314562,,Votação Deliberação,
314455,,Votação Deliberação,
314547,,Votação na generalidade,
314547,,Votação final global,
314503,,Votação na generalidade,
314517,,Votação na generalidade,
314517,,Requerimento avocação plenário,
314572,,Votação na generalidade,
314573,,Votação na generalidade,
314499,,Votação na generalidade,
314466,,Votação na generalidade,
314669,,Votação na generalidade,
314669,,Votação final global,Texto Final apresentado pela Comissão de Negócios Estrangeiros e Comunidades Portuguesas
314552,,Votação na generalidade,
314552,,Votação final global,
314485,,Votação Deliberação,
314486,,Votação Deliberação,
314545,,Votação na generalidade,
314498,,Votação na generalidade,
314582,,Votação na generalidade,
314527,,Votação na generalidade,
314549,,Votação na generalidade,
314540,,Votação na generalidade,
314570,,Votação na generalidade,
314646,,Votação na generalidade,
263726,,Votação na generalidade,
263726,30102,Requerimento avocação plenário,
263726,,Votação na especialidade,
263726,,Votação final global,
263726,,Votação novo decreto,
314765,,Votação na generalidade,
314765,,Votação final global,
314575,,Votação Deliberação,
314768,,Votação na generalidade,
314768,,Votação final global,
314638,,Votação na generalidade,
314592,,Votação na generalidade,
314649,,Votação na generalidade,
314600,,Votação Deliberação,
314680,,Votação Deliberação,
314660,,Votação Deliberação,Votação por pontos requerida pelo BE
314770,,Votação na generalidade,
314770,,Votação final global,
314628,,Votação na generalidade,Rejeitado após dois empates.
314633,,Votação na generalidade,
314613,,Votação Deliberação,
314640,,Votação na generalidade,
314641,,Votação na generalidade,
314675,,Votação Deliberação,
314616,,Votação Deliberação,
314692,,Votação na generalidade,
314743,,Votação Deliberação,
314803,,Votação Deliberação,
314818,,Votação Deliberação,
314687,,Votação na generalidade,
314696,,Votação na generalidade,
314763,,Votação na generalidade,
314763,,Requerimento avocação plenário,
314742,,Votação na generalidade,
314745,,Votação na generalidade,
314810,,Votação na generalidade,
314783,,Votação na generalidade,
314783,,Votação final global,
314721,,Votação Deliberação,
314840,,Votação Deliberação,
314844,,Votação na generalidade,
314774,,Votação na generalidade,
314775,,Votação na generalidade,
314815,,Votação Deliberação,
314739,,Votação na generalidade,
314740,,Votação na generalidade,
314877,,Votação Deliberação,
314752,,Votação na generalidade,
263606,30090,Votação na generalidade,
263606,,Votação final global,
314802,,Votação Deliberação,
263610,,Votação na generalidade,
263610,30121,Votação final global,
314858,,Votação na generalidade,
314860,,Votação na generalidade,
314852,,Votação na generalidade,
314903,,Votação Deliberação,
314832,,Votação na generalidade,
314910,,Votação Deliberação,
314954,,Votação Deliberação,
314932,,Votação Deliberação,
314970,,Votação na generalidade,
314943,,Votação na generalidade,
263488,,Votação na generalidade,
263624,,Requerimento Baixa Comissão sem Votação (Generalidade),
263624,,Votação na generalidade,
263749,,Votação na generalidade,
263749,,Votação final global,
263525,,Votação na generalidade,
263605,,Requerimento Baixa Comissão sem Votação (Generalidade),
263520,,Votação na generalidade,
263521,,Votação na generalidade,
263524,,Votação na generalidade,
263679,,Votação na generalidade,
263532,,Votação na generalidade,
263854,,Requerimento Baixa Comissão sem Votação (Generalidade),"Requerimento, apresentado pela PSD solicitando a baixa à Comissão de Poder Local e Coesão Territorial, sem votação, por 30 dias, do Projeto de Lei n.º 189/XVI/1.ª (PSD)"
263854,,Votação na generalidade,
263854,,Votação na generalidade,
263854,,Votação na especialidade,
263854,,Votação final global,
263607,30091,Votação na generalidade,
315018,,Votação Deliberação,
263549,,Votação na generalidade,
263558,,Votação na generalidade,
263569,30113,Votação na generalidade,
263568,,Votação na generalidade,
263643,,Requerimento de adiamento de Votação (Generalidade),
263643,,Votação na generalidade,
263577,,Votação na generalidade,
263579,30115,Votação na generalidade,
263638,,Votação na generalidade,
263626,,Votação na generalidade,
263627,30026,Votação na generalidade,
263663,,Votação na generalidade,
263704,,Votação na generalidade,
273954,,Requerimento Baixa Comissão sem Votação (Generalidade),
263735,,Votação na generalidade,
263737,,Votação na generalidade,
263747,,Votação na generalidade,
263748,,Votação na generalidade,
263812,,Votação na generalidade,
263814,,Votação na generalidade,
263801,,Votação na generalidade,
